"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.149288542E0,-4.101470947E-1,-1.126557312E0,1.015967285E1,1.023016639E1
2.159275542E0,-4.031117249E-1,-1.108744354E0,1.023915756E1,1.030689869E1
2.169262542E0,-4.147874451E-1,-1.161734161E0,1.029873367E1,1.037234738E1
2.179248542E0,-4.429289246E-1,-1.238973541E0,1.027478348E1,1.035868800E1
2.189235542E0,-4.763095093E-1,-1.276246033E0,1.027538223E1,1.036528604E1
2.199221542E0,-4.887336731E-1,-1.232536926E0,1.026580215E1,1.035107249E1
2.209208542E0,-4.661306763E-1,-1.177451477E0,1.024813889E1,1.032608447E1
2.219195542E0,-4.384382629E-1,-1.142873383E0,1.012808853E1,1.020179224E1
2.229181542E0,-4.975653076E-1,-1.147064667E0,9.905351715E0,9.983953184E0
2.239168542E0,-4.969665527E-1,-1.138233032E0,9.664352875E0,9.743832238E0
2.249154542E0,-4.471202087E-1,-1.083596649E0,9.520052948E0,9.591950079E0
2.259141542E0,-3.891906738E-1,-1.026116180E0,9.444759521E0,9.508305118E0
2.269127542E0,-3.173400879E-1,-1.034349060E0,9.297016754E0,9.359759785E0
2.279114542E0,-2.430944824E-1,-9.882449341E-1,9.235195312E0,9.291100873E0
2.289101542E0,-1.663041687E-1,-9.568103027E-1,9.292975159E0,9.343582307E0
2.299087542E0,-1.718426514E-1,-9.701325989E-1,9.223818970E0,9.276288242E0
2.309074542E0,-1.606159973E-1,-9.883946228E-1,9.159003754E0,9.213580802E0
2.319060542E0,-1.600172424E-1,-1.045426025E0,9.176217957E0,9.236963629E0
2.329047542E0,-1.927990723E-1,-1.132245483E0,9.213191071E0,9.284505427E0
2.339034542E0,-2.442919922E-1,-1.106648712E0,9.184001770E0,9.253660814E0
2.349020542E0,-2.643502808E-1,-1.041983185E0,9.280401306E0,9.342454626E0
2.359007542E0,-2.065704346E-1,-9.710307312E-1,9.372310181E0,9.424742445E0
2.368993542E0,-1.339714050E-1,-9.190887451E-1,9.304650879E0,9.350893029E0
2.378980542E0,-1.207987976E-1,-9.035211182E-1,9.255702667E0,9.300482494E0
2.388966542E0,-1.276844788E-1,-9.116043091E-1,9.236093445E0,9.281850455E0
2.398953542E0,-1.911524963E-1,-9.018745422E-1,9.257648621E0,9.303438878E0
2.408940542E0,-2.622546387E-1,-9.379495239E-1,9.334438934E0,9.385109324E0
2.418926542E0,-2.740800476E-1,-1.028810577E0,9.341174927E0,9.401655178E0
2.428913542E0,-2.655477905E-1,-1.059197388E0,9.396260376E0,9.459499130E0
2.438899542E0,-2.258802795E-1,-1.016386414E0,9.464668121E0,9.521764852E0
2.448886542E0,-2.103126526E-1,-9.979747009E-1,9.485923920E0,9.540594191E0
2.458873542E0,-2.264790344E-1,-1.028960266E0,9.516909485E0,9.575051860E0
2.468859542E0,-2.743794250E-1,-1.076261902E0,9.553433533E0,9.617781242E0
2.478846542E0,-3.341052246E-1,-1.084195404E0,9.596992950E0,9.663818069E0
2.488832542E0,-3.329077148E-1,-1.080303497E0,9.637259216E0,9.703331819E0
2.498819542E0,-3.180885315E-1,-1.068627777E0,9.547146606E0,9.612031729E0
2.508805542E0,-3.264710999E-1,-1.060843964E0,9.500294037E0,9.564912968E0
2.518792542E0,-3.016227722E-1,-1.072519684E0,9.543554077E0,9.608366104E0
2.528779542E0,-2.797682190E-1,-1.086590424E0,9.491163025E0,9.557255075E0
