"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.642095667E0,-9.762099609E0,-1.339564362E0,-1.244512024E0,9.931859425E0
2.652081667E0,-9.647438049E0,-2.086660767E0,-1.248703308E0,9.949194642E0
2.662068667E0,-9.790839844E0,-2.232756958E0,-8.002359009E-1,1.007403226E1
2.672054667E0,-9.405092010E0,-1.984573059E0,-6.878196716E-1,9.636772377E0
2.682041667E0,-1.295945068E1,1.234482880E0,-1.349892883E0,1.308791507E1
2.692027667E0,-7.679779816E0,-2.149380341E0,-1.248403931E0,8.072011288E0
2.702013667E0,-9.042545929E0,-1.162931671E0,-1.047072601E0,9.176949819E0
2.712000667E0,-9.973759460E0,-4.848417664E-1,-1.850901031E0,1.015562819E1
2.721986667E0,-1.224438766E1,1.676513672E-2,-1.742077332E0,1.236770568E1
2.731973667E0,-9.858349457E0,-7.334747314E-1,-1.485211487E0,9.996544021E0
2.741959667E0,-1.029828461E1,-7.244934082E-2,-1.902244263E0,1.047274787E1
2.751946667E0,-1.034468811E1,-1.615141296E-1,-1.736089783E0,1.049059897E1
2.761932667E0,-1.035351974E1,-6.668632507E-1,-1.302441559E0,1.045640625E1
2.771919667E0,-1.031340317E1,-4.457730103E-1,-1.422491913E0,1.042057972E1
2.781905667E0,-1.028047165E1,2.335144043E-2,-1.662891998E0,1.041411794E1
2.791892667E0,-1.012240036E1,4.969665527E-2,-1.260528717E0,1.020070544E1
2.801878667E0,-9.728120270E0,-1.032852173E-1,-8.575666809E-1,9.766391986E0
2.811865667E0,-9.482930145E0,-3.953279114E-1,-7.246430969E-1,9.518789624E0
2.821851667E0,-9.369765472E0,-7.629634094E-1,-2.525248718E-1,9.404168596E0
2.831837667E0,-9.239536285E0,-5.034031677E-1,-4.442761230E-1,9.263899114E0
2.841824667E0,-9.447902985E0,-2.712359619E-1,-8.208929443E-1,9.487376085E0
2.851810708E0,-9.969867554E0,-4.885839844E-1,-5.912704468E-1,9.999328682E0
2.861797708E0,-1.011147308E1,-6.996450806E-1,-1.842668152E-1,1.013732437E1
2.871783708E0,-9.878108368E0,-4.230203247E-1,-4.465214539E-1,9.897239642E0
2.881770708E0,-9.770482178E0,-1.866618347E-1,-5.956114197E-1,9.790399256E0
2.891756708E0,-9.826914825E0,-1.838177490E-1,-6.746470642E-1,9.851760889E0
2.901743708E0,-9.776769104E0,-2.839595032E-1,-8.440946960E-1,9.817247219E0
2.911729708E0,-9.867779846E0,-7.170089722E-1,-3.653901672E-1,9.900539931E0
2.921716708E0,-1.006821304E1,-1.504970398E0,-4.305047607E-1,1.018916994E1
2.931702708E0,-9.827513580E0,-1.807341614E0,-2.195933533E-1,9.994735020E0
2.941689708E0,-9.302555237E0,-1.528022461E0,7.214996338E-2,9.427491299E0
2.951675708E0,-9.033564606E0,-1.260678406E0,-1.654060364E-1,9.122607011E0
2.961662708E0,-8.880283356E0,-1.104852448E0,2.200424194E-2,8.948777324E0
2.971648708E0,-9.119635620E0,-6.677613831E-1,-1.227447510E-1,9.144874268E0
2.981634708E0,-9.526489563E0,-2.817141724E-1,-6.602769470E-1,9.553498412E0
2.991621708E0,-9.690398712E0,-2.968327332E-1,-4.423301697E-1,9.705029256E0
3.001607708E0,-9.849517822E0,-1.086740112E-1,1.029858398E-1,9.850655687E0
3.011594708E0,-9.723779297E0,2.260299683E-1,3.930825806E-1,9.734345755E0
3.021580708E0,-9.235045624E0,2.306703186E-1,4.369413757E-1,9.248253578E0
3.031567708E0,-8.758586426E0,3.061134338E-1,6.010002136E-1,8.784517225E0
3.041553708E0,-8.246351624E0,1.587748260E0,6.239025879E-1,8.420956839E0
3.051540708E0,-8.707243195E0,1.411115570E0,7.783813477E-1,8.855123304E0
3.061526708E0,-8.814869385E0,1.425036621E0,6.976991272E-1,8.956530339E0
3.071513708E0,-8.987011414E0,1.253343658E0,1.299298096E-1,9.074917423E0
3.081499708E0,-9.783954163E0,2.342628479E-1,7.409591675E-2,9.787038793E0
3.091486708E0,-1.034244278E1,-6.156697083E-1,2.483335876E-1,1.036372720E1
